Degree,Field / Major,Institution,Location,Start,End,Status,Notes
Ph.D.,School of Civil and Environmental Engineering,Nanyang Technological University,Singapore,August 2021,February 2025,Completed,Doctoral study.
M.S.,,Zhejiang University,"Hangzhou, China",September 2019,June 2021,Completed,Master degree.
Exchange,,"University of California, Los Angeles","Los Angeles, United States",May 2017,July 2017,Completed,Government-sponsored exchange funded by Jiangsu Government Scholarship.
B.S.,,Nanjing Audit University,"Nanjing, China",September 2015,June 2019,Completed,Bachelor degree.
