Category,Title / Role,Institution / Funder,Period,Role,Description
Work Experience,Postdoctoral Research Fellow,"Nanyang Technological University, Singapore, Singapore",February 2025 - Present,,"School of Civil and Environmental Engineering (CEE). Primary current affiliation."
Work Experience,Research Associate,"Nanyang Technological University, Singapore, Singapore",August 2023 - February 2025,,"School of Civil and Environmental Engineering."
Work Experience,Project Officer,"Nanyang Technological University, Singapore, Singapore",March 2023 - August 2023,,"School of Civil and Environmental Engineering."
Work Experience,Research Assistant,"Nanyang Technological University, Singapore, Singapore",October 2021 - March 2023,,School of Civil and Environmental Engineering.
Funded Project,Do Anthropomorphization and Socialization Matter? Exploring Their Main and Interaction Effects on Public Trust in Future Intelligent Vehicles,"National Research Foundation, Singapore",Ph.D. Year 3 onward,Principal Investigator,"Funded at SGD 250,000. Designed and supervised experiments, budget, team collaboration, and deliverables."
Funded Project,Maritime Studies Graduates Profiling: Career and Competency Mapping,"Maritime Foundation, Singapore",,Participant,"Contributed to project planning, execution, policy white paper, and government/industry seminar presentations."
Funded Project,"Human-Swarm Teaming in High-Risk Maritime Operations: AI Solutions for Cognitive Load, Human Reliability, and Interface Transparency",NTU-MIT joint research project funded by Singapore Maritime Institute,,Participant,Responsible for research framing and experimental design/supervision. Focuses on human-swarm teaming and swarm interface design for MASS/RCC contexts.
